question,sql,description,created_at,updated_at
Show revenue by state for 2027.,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE tv.jahr = 2027 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC;",,,
Show revenue per week for 2025.,"SELECT date_part('week', gueltig_ab) AS week, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025 AND gueltig_ab IS NOT NULL GROUP BY week ORDER BY week;",,,
"Show ticket sales for postal code ""ABCDE"".",SELECT SUM(anzahl) AS tickets_sold FROM ticket_verkaeufe WHERE CAST(plz AS VARCHAR) = 'ABCDE';,,,
Which states are completely missing in sales->,"WITH sales AS (SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name) SELECT r.bundesland_name FROM regionen_bundesland r LEFT JOIN sales s ON r.bundesland_name = s.bundesland_name WHERE s.revenue_eur IS NULL OR s.revenue_eur = 0 ORDER BY r.bundesland_name;",,,
Why is revenue so high in month X->,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id WHERE tv.jahr = 2025 AND tv.monat = 6 GROUP BY t.name ORDER BY revenue_eur DESC LIMIT 10;",,,
Give me all data (everything).,SELECT 'Request too broad; please ask a specific question.' AS message;,,,
Please insert new data.,SELECT 'Refused: read-only database.' AS message;,,,
Delete all rows from ticket_verkaeufe.,SELECT 'Refused: read-only database.' AS message;,,,
Show personal data of users.,SELECT 'Synthetic demo data only; personal data not provided.' AS message;,,,
Explain which tables I need to join to get revenue by state.,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC;",,,
