log_id,dateiname,schritt,level,nachricht,fehler_details,erstellt_von_user_id,erstellt_am,geaendert_von_user_id,geaendert_am
183,PLAN_UMSATZ_TV13_2024_09.csv,aggregate,warning,Verarbeitung mit Warnungen,,3,2024-08-23 10:29:37,,
184,PLAN_UMSATZ_TV12_2025_02_final.csv,export,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,58,2025-01-13 18:56:43,,2024-03-09 19:27:21
185,SONSTIGE_ANGEBOTE_TV17_2025_07_korrigiert.csv,export,info,Verarbeitung gestartet,,68,2024-04-02 01:31:06,32,
186,SONSTIGE_ANGEBOTE_TV3_2025_08_final.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,14,2024-10-15 19:37:20,,2025-10-29 14:19:00
187,PLAN_UMSATZ_TV7_2024_12.csv,ingest,info,Verarbeitung gestartet,,27,2025-11-27 15:32:31,,2024-04-03 15:56:46
188,PLAN_UMSATZ_TV9_2024_04_testlauf.csv,validate,success,Verarbeitung erfolgreich,,,2024-02-25 12:23:52,,2025-08-24 15:34:37
189,TICKET_VERKAEUFE_TV5_2024_06.csv,ingest,info,Verarbeitung gestartet,,,2025-05-19 03:35:47,,2025-11-16 21:40:50
190,SONSTIGE_ANGEBOTE_TV13_2024_05.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,21,2024-04-14 19:40:38,,
191,TICKET_VERKAEUFE_TV13_2025_08_v1.csv,aggregate,info,Verarbeitung gestartet,,10,2025-10-14 09:43:29,,
192,TICKET_VERKAEUFE_TV9_2025_07.csv,export,info,Verarbeitung gestartet,,,2024-05-21 18:33:25,,
193,SONSTIGE_ANGEBOTE_TV17_2025_07_korrigiert.csv,validate,info,Verarbeitung gestartet,,52,2025-10-24 01:18:22,,2024-12-31 07:46:01
194,PLAN_UMSATZ_TV16_2024_11.csv,aggregate,info,Verarbeitung gestartet,,28,2024-04-04 17:40:14,,
195,PLAN_UMSATZ_TV19_2025_08.csv,export,info,Verarbeitung gestartet,,59,2024-04-24 11:33:05,,2025-01-08 03:21:51
196,TICKET_VERKAEUFE_TV6_2025_06_korrigiert.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,65,2025-03-23 07:33:24,36,
197,SONSTIGE_ANGEBOTE_TV13_2024_05.csv,validate,success,Verarbeitung erfolgreich,,30,2025-05-30 03:33:34,55,2024-02-06 08:46:04
198,SONSTIGE_ANGEBOTE_TV10_2025_08.csv,aggregate,success,Verarbeitung erfolgreich,,58,2024-01-27 06:12:19,,2024-05-17 20:22:27
199,SONSTIGE_ANGEBOTE_TV4_2025_02_v1.csv,ingest,success,Verarbeitung erfolgreich,,,2025-11-03 04:42:33,49,2024-07-30 22:20:41
200,TICKET_VERKAEUFE_TV3_2024_08.csv,aggregate,success,Verarbeitung erfolgreich,,,2025-01-29 13:39:49,,
201,PLAN_UMSATZ_TV8_2025_02_final.csv,export,info,Verarbeitung gestartet,,,2025-08-31 18:13:56,,2025-03-02 01:21:59
202,PLAN_UMSATZ_TV12_2025_02_final.csv,validate,success,Verarbeitung erfolgreich,,25,2024-10-15 16:15:40,,2025-12-21 02:33:44
203,TICKET_VERKAEUFE_TV17_2025_12_testlauf.csv,validate,error,Verarbeitung fehlgeschlagen,PLZ ungültig,74,2024-11-07 23:41:33,69,2024-09-20 23:58:37
204,TICKET_VERKAEUFE_TV14_2025_06_v1.csv,ingest,info,Verarbeitung gestartet,,11,2025-09-22 08:32:19,50,2025-07-20 11:22:09
205,SONSTIGE_ANGEBOTE_TV8_2025_09.csv,export,info,Verarbeitung gestartet,,76,2024-05-04 22:51:05,,
206,SONSTIGE_ANGEBOTE_TV2_2025_08_v1.csv,aggregate,success,Verarbeitung erfolgreich,,25,2025-01-09 09:35:51,,2025-01-03 14:02:29
207,SONSTIGE_ANGEBOTE_TV18_2025_07_final.csv,ingest,info,Verarbeitung gestartet,,16,2024-07-09 11:36:24,6,
208,SONSTIGE_ANGEBOTE_TV19_2025_12_final.csv,validate,info,Verarbeitung gestartet,,31,2024-08-16 19:40:34,58,
209,SONSTIGE_ANGEBOTE_TV9_2024_07_v1.csv,validate,info,Verarbeitung gestartet,,20,2025-08-19 07:14:08,40,2024-11-15 21:04:39
210,PLAN_UMSATZ_TV15_2024_02_final.csv,aggregate,warning,Verarbeitung mit Warnungen,,10,2024-04-09 00:44:10,,2024-03-14 23:54:31
211,SONSTIGE_ANGEBOTE_TV10_2025_08.csv,validate,info,Verarbeitung gestartet,,,2025-06-27 13:07:31,35,2025-01-11 05:08:26
212,PLAN_UMSATZ_TV17_2025_08_testlauf.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,39,2024-12-28 10:18:31,61,2024-11-23 06:10:58
213,SONSTIGE_ANGEBOTE_TV8_2024_04.csv,export,info,Verarbeitung gestartet,,48,2025-09-22 21:14:29,,2024-05-07 03:07:46
214,PLAN_UMSATZ_TV6_2024_01.csv,aggregate,info,Verarbeitung gestartet,,73,2024-12-05 07:39:02,,
215,TICKET_VERKAEUFE_TV14_2025_06_v1.csv,aggregate,warning,Verarbeitung mit Warnungen,,,2024-09-22 06:04:01,,2024-08-25 21:02:35
216,TICKET_VERKAEUFE_TV18_2024_05_testlauf.csv,aggregate,info,Verarbeitung gestartet,,5,2025-05-06 17:39:45,,2025-08-31 22:56:48
217,SONSTIGE_ANGEBOTE_TV8_2025_02.csv,aggregate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,17,2024-03-18 03:43:28,32,
218,SONSTIGE_ANGEBOTE_TV8_2025_09.csv,aggregate,info,Verarbeitung gestartet,,,2024-06-26 04:18:48,13,2025-03-18 20:16:52
219,TICKET_VERKAEUFE_TV12_2024_03_testlauf.csv,validate,info,Verarbeitung gestartet,,79,2025-05-09 20:07:27,39,
220,SONSTIGE_ANGEBOTE_TV3_2024_12.csv,export,warning,Verarbeitung mit Warnungen,,25,2024-05-03 07:44:03,,2025-01-20 14:02:11
221,PLAN_UMSATZ_TV9_2024_01.csv,export,info,Verarbeitung gestartet,,36,2024-03-31 22:11:14,,2025-07-27 08:40:24
222,PLAN_UMSATZ_TV5_2025_05_final.csv,aggregate,info,Verarbeitung gestartet,,42,2024-10-20 16:24:44,,
223,TICKET_VERKAEUFE_TV3_2024_08.csv,validate,info,Verarbeitung gestartet,,2,2024-02-23 08:45:08,,2024-07-08 14:14:30
224,PLAN_UMSATZ_TV17_2025_02.csv,validate,success,Verarbeitung erfolgreich,,62,2025-08-30 12:14:21,,
225,PLAN_UMSATZ_TV9_2024_05.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,78,2024-02-12 21:33:21,77,
226,PLAN_UMSATZ_TV1_2024_05_final.csv,ingest,info,Verarbeitung gestartet,,36,2025-03-29 13:24:32,,
227,TICKET_VERKAEUFE_TV18_2025_04.csv,validate,info,Verarbeitung gestartet,,49,2025-01-18 14:42:40,,
228,PLAN_UMSATZ_TV9_2024_07.csv,ingest,info,Verarbeitung gestartet,,,2024-04-24 13:00:06,,
229,TICKET_VERKAEUFE_TV15_2024_10.csv,aggregate,info,Verarbeitung gestartet,,40,2025-04-29 02:19:48,,
230,PLAN_UMSATZ_TV4_2024_11.csv,export,info,Verarbeitung gestartet,,,2024-07-15 03:27:20,52,2024-11-29 11:44:45
231,PLAN_UMSATZ_TV2_2024_02_korrigiert.csv,ingest,warning,Verarbeitung mit Warnungen,,23,2024-08-30 01:44:03,,
232,PLAN_UMSATZ_TV9_2024_09_testlauf.csv,validate,info,Verarbeitung gestartet,,,2025-08-22 11:10:13,,2025-05-04 00:46:08
233,TICKET_VERKAEUFE_TV4_2024_08_v1.csv,aggregate,info,Verarbeitung gestartet,,46,2024-05-09 20:28:44,76,
234,SONSTIGE_ANGEBOTE_TV11_2024_11_testlauf.csv,validate,info,Verarbeitung gestartet,,3,2025-12-26 08:40:43,,
235,PLAN_UMSATZ_TV18_2025_01_final.csv,aggregate,info,Verarbeitung gestartet,,,2025-10-18 17:48:20,,2024-10-18 01:55:47
236,SONSTIGE_ANGEBOTE_TV17_2024_06.csv,export,info,Verarbeitung gestartet,,17,2025-07-05 05:49:22,,
237,PLAN_UMSATZ_TV17_2024_09.csv,ingest,success,Verarbeitung erfolgreich,,76,2024-01-12 20:00:29,60,2024-10-28 00:09:19
238,TICKET_VERKAEUFE_TV11_2024_06.csv,export,info,Verarbeitung gestartet,,49,2025-02-01 20:51:53,,2024-03-04 23:57:09
239,SONSTIGE_ANGEBOTE_TV20_2025_09_final.csv,ingest,success,Verarbeitung erfolgreich,,14,2025-12-14 10:17:02,,2025-09-14 19:16:18
240,TICKET_VERKAEUFE_TV9_2025_10_final.csv,ingest,success,Verarbeitung erfolgreich,,25,2024-06-03 17:53:44,,2025-08-08 03:21:37
241,PLAN_UMSATZ_TV4_2024_11.csv,export,info,Verarbeitung gestartet,,57,2025-03-12 10:03:07,,
242,SONSTIGE_ANGEBOTE_TV1_2024_12_v1.csv,ingest,info,Verarbeitung gestartet,,15,2025-12-07 16:40:00,,
243,PLAN_UMSATZ_TV6_2025_08.csv,export,info,Verarbeitung gestartet,,,2025-03-05 12:09:25,,2024-02-04 17:41:39
244,PLAN_UMSATZ_TV5_2024_06_testlauf.csv,ingest,info,Verarbeitung gestartet,,44,2025-08-18 07:43:27,,
245,SONSTIGE_ANGEBOTE_TV14_2025_11.csv,aggregate,success,Verarbeitung erfolgreich,,40,2025-11-05 19:23:34,,
246,SONSTIGE_ANGEBOTE_TV10_2024_09.csv,ingest,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,1,2025-12-13 12:19:58,46,
247,SONSTIGE_ANGEBOTE_TV9_2024_10_testlauf.csv,aggregate,success,Verarbeitung erfolgreich,,55,2025-07-10 01:30:34,45,
248,SONSTIGE_ANGEBOTE_TV12_2024_10_v1.csv,aggregate,info,Verarbeitung gestartet,,46,2025-12-13 13:45:01,31,
249,SONSTIGE_ANGEBOTE_TV8_2024_04.csv,ingest,error,Verarbeitung fehlgeschlagen,PLZ ungültig,22,2024-05-01 06:15:03,,
250,TICKET_VERKAEUFE_TV4_2024_10.csv,validate,info,Verarbeitung gestartet,,,2024-08-02 14:23:26,,2025-12-02 10:44:14
251,PLAN_UMSATZ_TV2_2025_04_testlauf.csv,ingest,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,56,2025-12-01 12:51:05,,2024-10-01 22:59:31
252,PLAN_UMSATZ_TV4_2025_12.csv,export,info,Verarbeitung gestartet,,,2025-08-29 12:49:04,,
253,TICKET_VERKAEUFE_TV19_2024_10.csv,ingest,success,Verarbeitung erfolgreich,,,2025-07-03 06:42:34,,2024-07-24 15:31:51
254,SONSTIGE_ANGEBOTE_TV3_2024_01_v1.csv,validate,info,Verarbeitung gestartet,,53,2025-03-18 22:05:59,79,2025-05-31 22:10:52
255,PLAN_UMSATZ_TV4_2024_07.csv,validate,info,Verarbeitung gestartet,,64,2025-10-05 14:05:25,,
256,TICKET_VERKAEUFE_TV18_2025_01.csv,aggregate,error,Verarbeitung fehlgeschlagen,PLZ ungültig,77,2024-04-23 14:02:06,35,
257,SONSTIGE_ANGEBOTE_TV18_2024_08_v1.csv,ingest,info,Verarbeitung gestartet,,27,2025-12-30 15:16:09,,
258,TICKET_VERKAEUFE_TV5_2024_08_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,12,2024-11-13 06:37:14,22,
259,SONSTIGE_ANGEBOTE_TV7_2024_06_v1.csv,validate,success,Verarbeitung erfolgreich,,37,2025-02-01 23:52:47,39,
260,PLAN_UMSATZ_TV6_2025_07_final.csv,export,info,Verarbeitung gestartet,,55,2024-08-22 10:30:07,12,2025-04-26 03:28:36
261,SONSTIGE_ANGEBOTE_TV15_2025_03_v1.csv,aggregate,info,Verarbeitung gestartet,,19,2025-01-11 19:57:06,,
262,TICKET_VERKAEUFE_TV18_2025_04.csv,validate,info,Verarbeitung gestartet,,62,2025-03-11 07:44:43,67,2024-06-29 21:41:13
263,SONSTIGE_ANGEBOTE_TV19_2025_04.csv,aggregate,success,Verarbeitung erfolgreich,,15,2024-02-09 12:43:35,,
264,PLAN_UMSATZ_TV6_2025_07_final.csv,validate,info,Verarbeitung gestartet,,56,2024-09-12 05:50:07,,
265,TICKET_VERKAEUFE_TV8_2025_09.csv,export,info,Verarbeitung gestartet,,33,2025-04-25 15:00:26,,2025-02-18 08:45:51
266,TICKET_VERKAEUFE_TV1_2025_05_korrigiert.csv,export,info,Verarbeitung gestartet,,50,2024-07-25 12:50:04,60,2025-06-18 23:19:21
267,SONSTIGE_ANGEBOTE_TV17_2024_02_final.csv,ingest,info,Verarbeitung gestartet,,58,2024-05-31 19:58:38,,
268,TICKET_VERKAEUFE_TV12_2024_04.csv,aggregate,info,Verarbeitung gestartet,,18,2024-08-29 23:16:23,,
269,SONSTIGE_ANGEBOTE_TV8_2025_04.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,37,2025-09-22 18:52:25,,
270,SONSTIGE_ANGEBOTE_TV5_2025_06.csv,ingest,success,Verarbeitung erfolgreich,,,2024-10-02 17:21:56,,2025-09-20 05:47:34
271,SONSTIGE_ANGEBOTE_TV14_2025_12_korrigiert.csv,validate,success,Verarbeitung erfolgreich,,,2024-08-06 02:31:21,36,
272,TICKET_VERKAEUFE_TV4_2025_12.csv,export,success,Verarbeitung erfolgreich,,,2024-11-14 12:38:00,32,2025-03-04 22:51:35
273,SONSTIGE_ANGEBOTE_TV20_2024_03.csv,aggregate,info,Verarbeitung gestartet,,65,2024-06-27 13:46:45,61,
274,SONSTIGE_ANGEBOTE_TV5_2024_09_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,60,2024-07-30 17:36:14,,
275,PLAN_UMSATZ_TV6_2024_11_korrigiert.csv,validate,info,Verarbeitung gestartet,,64,2025-10-17 07:20:10,60,
276,SONSTIGE_ANGEBOTE_TV8_2025_01.csv,validate,success,Verarbeitung erfolgreich,,46,2024-01-04 05:53:12,,2024-08-10 10:03:57
277,PLAN_UMSATZ_TV8_2025_06.csv,aggregate,warning,Verarbeitung mit Warnungen,,53,2025-11-05 19:21:17,,
278,SONSTIGE_ANGEBOTE_TV1_2025_08_korrigiert.csv,aggregate,success,Verarbeitung erfolgreich,,17,2025-11-30 01:35:35,29,
279,SONSTIGE_ANGEBOTE_TV7_2024_06_v1.csv,aggregate,info,Verarbeitung gestartet,,36,2025-03-19 07:24:43,24,2024-08-25 08:59:56
280,SONSTIGE_ANGEBOTE_TV8_2024_04.csv,ingest,warning,Verarbeitung mit Warnungen,,63,2025-12-01 06:26:00,43,
281,PLAN_UMSATZ_TV18_2025_06.csv,ingest,info,Verarbeitung gestartet,,31,2025-05-04 17:08:35,13,
282,TICKET_VERKAEUFE_TV10_2025_08_korrigiert.csv,ingest,info,Verarbeitung gestartet,,25,2025-02-12 08:22:45,,2024-10-17 21:28:39
283,TICKET_VERKAEUFE_TV1_2025_05_korrigiert.csv,ingest,info,Verarbeitung gestartet,,31,2025-08-11 14:27:40,30,
284,SONSTIGE_ANGEBOTE_TV7_2024_08_v1.csv,export,info,Verarbeitung gestartet,,22,2024-12-09 18:13:55,,2025-12-25 06:36:33
285,TICKET_VERKAEUFE_TV13_2025_08_v1.csv,aggregate,info,Verarbeitung gestartet,,54,2025-01-22 14:23:29,,
286,SONSTIGE_ANGEBOTE_TV7_2025_02_final.csv,aggregate,info,Verarbeitung gestartet,,41,2024-10-10 21:59:59,,2024-08-30 07:24:23
287,SONSTIGE_ANGEBOTE_TV16_2025_10.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,38,2024-06-15 19:00:31,,2025-09-12 09:52:57
288,SONSTIGE_ANGEBOTE_TV12_2024_03_korrigiert.csv,export,info,Verarbeitung gestartet,,63,2024-04-24 15:38:09,73,
289,SONSTIGE_ANGEBOTE_TV7_2024_06_v1.csv,aggregate,info,Verarbeitung gestartet,,12,2024-06-02 18:17:38,60,
290,SONSTIGE_ANGEBOTE_TV18_2025_07_final.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,15,2025-06-21 02:50:49,,
291,SONSTIGE_ANGEBOTE_TV20_2024_01_final.csv,export,info,Verarbeitung gestartet,,,2024-11-10 17:01:59,,2024-10-08 19:02:32
292,TICKET_VERKAEUFE_TV6_2025_10_korrigiert.csv,export,info,Verarbeitung gestartet,,,2025-10-20 21:38:30,63,
293,SONSTIGE_ANGEBOTE_TV10_2025_08.csv,export,info,Verarbeitung gestartet,,,2025-11-25 07:45:57,,
294,SONSTIGE_ANGEBOTE_TV18_2024_08_v1.csv,export,info,Verarbeitung gestartet,,38,2025-01-18 13:46:37,,
295,PLAN_UMSATZ_TV17_2025_08_testlauf.csv,validate,info,Verarbeitung gestartet,,16,2025-09-07 00:10:07,,2025-06-06 05:05:54
296,SONSTIGE_ANGEBOTE_TV17_2025_07_korrigiert.csv,export,success,Verarbeitung erfolgreich,,28,2025-01-18 16:44:32,72,
297,TICKET_VERKAEUFE_TV6_2025_06_korrigiert.csv,validate,error,Verarbeitung fehlgeschlagen,Ticketcode unbekannt,75,2024-12-05 00:48:25,,2024-10-16 03:49:13
298,TICKET_VERKAEUFE_TV4_2025_04_v1.csv,aggregate,info,Verarbeitung gestartet,,32,2025-06-27 22:28:18,70,2025-11-08 11:40:33
299,TICKET_VERKAEUFE_TV1_2024_12_testlauf.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,28,2024-04-10 23:39:56,,2024-10-09 19:37:33
300,TICKET_VERKAEUFE_TV13_2024_04_v1.csv,validate,warning,Verarbeitung mit Warnungen,,34,2024-07-07 02:39:21,,2025-08-26 04:59:18
301,SONSTIGE_ANGEBOTE_TV13_2025_12_testlauf.csv,ingest,info,Verarbeitung gestartet,,11,2025-04-16 08:27:54,,
302,SONSTIGE_ANGEBOTE_TV4_2024_10_final.csv,validate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,14,2024-05-08 13:07:25,,
303,PLAN_UMSATZ_TV20_2025_02.csv,ingest,info,Verarbeitung gestartet,,16,2024-08-14 01:10:08,,
304,TICKET_VERKAEUFE_TV2_2024_06_final.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,25,2025-08-18 02:00:07,74,
305,SONSTIGE_ANGEBOTE_TV13_2025_12_testlauf.csv,ingest,info,Verarbeitung gestartet,,,2025-01-02 00:40:27,,
306,PLAN_UMSATZ_TV17_2024_09.csv,ingest,info,Verarbeitung gestartet,,11,2025-07-03 20:27:43,,2024-06-19 23:26:46
307,TICKET_VERKAEUFE_TV20_2025_06_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,58,2025-05-03 20:23:21,,2024-09-14 19:16:02
308,PLAN_UMSATZ_TV11_2025_01_korrigiert.csv,validate,success,Verarbeitung erfolgreich,,78,2025-07-15 13:34:26,,
309,PLAN_UMSATZ_TV5_2024_05.csv,aggregate,warning,Verarbeitung mit Warnungen,,28,2025-08-19 23:41:37,,
310,SONSTIGE_ANGEBOTE_TV5_2025_07.csv,validate,info,Verarbeitung gestartet,,54,2024-03-18 13:06:26,43,
311,SONSTIGE_ANGEBOTE_TV1_2025_05.csv,validate,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,6,2025-07-22 22:41:39,42,
312,TICKET_VERKAEUFE_TV6_2025_10_korrigiert.csv,aggregate,info,Verarbeitung gestartet,,37,2025-11-18 13:14:28,13,
313,SONSTIGE_ANGEBOTE_TV17_2024_02_final.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,14,2024-09-21 15:32:29,12,
314,SONSTIGE_ANGEBOTE_TV13_2025_05_v1.csv,ingest,success,Verarbeitung erfolgreich,,2,2024-05-04 12:46:01,36,2025-08-01 16:17:25
315,TICKET_VERKAEUFE_TV5_2024_08_korrigiert.csv,export,success,Verarbeitung erfolgreich,,51,2025-07-21 20:03:48,16,
316,SONSTIGE_ANGEBOTE_TV10_2024_09.csv,export,info,Verarbeitung gestartet,,78,2025-01-27 19:44:40,,
317,TICKET_VERKAEUFE_TV7_2024_01.csv,export,info,Verarbeitung gestartet,,20,2024-05-06 20:26:13,,
318,TICKET_VERKAEUFE_TV14_2025_06_v1.csv,validate,info,Verarbeitung gestartet,,3,2024-02-18 07:27:03,43,
319,TICKET_VERKAEUFE_TV9_2025_10_final.csv,ingest,success,Verarbeitung erfolgreich,,,2024-12-09 06:41:52,,
320,TICKET_VERKAEUFE_TV8_2025_09.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,74,2024-05-06 16:04:06,,
321,TICKET_VERKAEUFE_TV17_2025_12_testlauf.csv,ingest,info,Verarbeitung gestartet,,56,2025-01-04 02:30:03,10,
322,PLAN_UMSATZ_TV18_2024_06.csv,ingest,success,Verarbeitung erfolgreich,,72,2024-08-07 07:47:23,,
323,PLAN_UMSATZ_TV20_2024_12_final.csv,validate,success,Verarbeitung erfolgreich,,,2024-07-21 14:22:24,46,
324,SONSTIGE_ANGEBOTE_TV13_2025_05_v1.csv,validate,success,Verarbeitung erfolgreich,,76,2024-02-09 10:12:01,10,
325,SONSTIGE_ANGEBOTE_TV2_2025_08_v1.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,75,2025-06-17 01:40:11,63,2024-11-11 19:15:18
326,PLAN_UMSATZ_TV4_2024_07.csv,validate,success,Verarbeitung erfolgreich,,2,2025-06-05 17:48:56,36,
327,SONSTIGE_ANGEBOTE_TV11_2024_08_korrigiert.csv,validate,success,Verarbeitung erfolgreich,,31,2025-01-23 21:21:50,20,
328,PLAN_UMSATZ_TV13_2025_11.csv,ingest,info,Verarbeitung gestartet,,68,2024-04-25 03:06:23,5,
329,TICKET_VERKAEUFE_TV12_2024_03.csv,aggregate,info,Verarbeitung gestartet,,39,2025-05-16 21:05:30,,2024-12-29 10:42:41
330,SONSTIGE_ANGEBOTE_TV1_2024_12_v1.csv,export,info,Verarbeitung gestartet,,,2025-06-28 18:34:48,,
331,TICKET_VERKAEUFE_TV7_2025_11.csv,validate,info,Verarbeitung gestartet,,70,2025-07-19 11:46:03,36,2025-01-08 14:06:04
332,SONSTIGE_ANGEBOTE_TV13_2024_02_v1.csv,ingest,info,Verarbeitung gestartet,,,2024-05-02 13:18:23,,
333,PLAN_UMSATZ_TV8_2024_02_testlauf.csv,export,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2025-11-03 12:17:56,,2024-05-04 19:46:42
334,SONSTIGE_ANGEBOTE_TV13_2025_12_testlauf.csv,aggregate,info,Verarbeitung gestartet,,42,2025-03-17 10:11:38,64,
335,TICKET_VERKAEUFE_TV18_2025_04.csv,export,info,Verarbeitung gestartet,,63,2024-12-14 03:27:49,,
336,SONSTIGE_ANGEBOTE_TV17_2024_06_v1.csv,aggregate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,18,2024-08-17 15:49:18,,2025-04-20 03:48:07
337,PLAN_UMSATZ_TV20_2024_12_final.csv,ingest,success,Verarbeitung erfolgreich,,,2025-04-17 06:58:55,9,2024-06-22 18:55:56
338,PLAN_UMSATZ_TV8_2025_05_final.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-08-17 11:31:40,,
339,PLAN_UMSATZ_TV16_2025_05.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-07-21 19:55:41,50,
340,PLAN_UMSATZ_TV7_2025_06_korrigiert.csv,validate,info,Verarbeitung gestartet,,33,2024-09-27 16:52:54,,
341,PLAN_UMSATZ_TV3_2024_01_testlauf.csv,ingest,info,Verarbeitung gestartet,,52,2024-12-13 07:22:31,,2025-11-26 11:52:38
342,PLAN_UMSATZ_TV7_2024_09.csv,aggregate,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,17,2025-06-29 18:07:32,,
343,SONSTIGE_ANGEBOTE_TV2_2025_08_v1.csv,ingest,success,Verarbeitung erfolgreich,,2,2024-10-15 23:37:32,72,
344,PLAN_UMSATZ_TV5_2024_01_korrigiert.csv,ingest,info,Verarbeitung gestartet,,32,2024-08-03 16:47:09,27,
345,PLAN_UMSATZ_TV16_2024_11.csv,ingest,info,Verarbeitung gestartet,,16,2025-09-16 07:22:41,,2025-02-17 22:23:23
346,TICKET_VERKAEUFE_TV6_2025_03.csv,export,info,Verarbeitung gestartet,,67,2024-09-14 22:39:42,74,2025-08-10 03:27:49
347,SONSTIGE_ANGEBOTE_TV9_2025_11_final.csv,export,info,Verarbeitung gestartet,,22,2024-09-18 17:25:40,,
348,SONSTIGE_ANGEBOTE_TV15_2025_03_v1.csv,ingest,success,Verarbeitung erfolgreich,,,2025-07-28 11:38:41,,2024-03-15 12:16:56
349,SONSTIGE_ANGEBOTE_TV4_2024_07.csv,export,error,Verarbeitung fehlgeschlagen,Ungültiges Datumsformat,9,2025-03-26 10:13:58,17,2025-08-06 20:54:41
350,SONSTIGE_ANGEBOTE_TV13_2025_01.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,6,2025-05-13 13:44:17,,
351,TICKET_VERKAEUFE_TV10_2024_11_v1.csv,export,error,Verarbeitung fehlgeschlagen,Pflichtfeld fehlt,18,2025-12-21 19:26:07,44,2024-01-11 08:48:27
352,PLAN_UMSATZ_TV8_2025_06.csv,export,success,Verarbeitung erfolgreich,,62,2024-09-27 10:25:04,,2024-03-02 20:27:10
353,TICKET_VERKAEUFE_TV3_2024_08.csv,aggregate,info,Verarbeitung gestartet,,35,2024-04-13 04:24:30,,2024-09-18 11:47:13
354,SONSTIGE_ANGEBOTE_TV3_2025_08.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-11-03 13:59:19,22,2024-12-22 00:49:13
355,SONSTIGE_ANGEBOTE_TV6_2024_03_korrigiert.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,47,2024-06-09 21:51:45,,
356,PLAN_UMSATZ_TV2_2024_06_final.csv,validate,info,Verarbeitung gestartet,,52,2025-05-23 20:59:06,53,
357,TICKET_VERKAEUFE_TV16_2024_11_korrigiert.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,5,2024-12-06 02:21:50,8,
358,SONSTIGE_ANGEBOTE_TV18_2024_08_v1.csv,export,info,Verarbeitung gestartet,,20,2024-11-21 22:37:51,18,
359,TICKET_VERKAEUFE_TV12_2024_04.csv,export,success,Verarbeitung erfolgreich,,21,2025-10-04 14:46:02,47,2024-03-24 01:30:53
360,SONSTIGE_ANGEBOTE_TV6_2024_03_korrigiert.csv,aggregate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,5,2024-02-12 05:59:17,,2025-02-28 21:44:06
361,TICKET_VERKAEUFE_TV4_2024_10.csv,ingest,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,,2024-09-29 20:37:25,,2025-03-23 19:54:08
362,TICKET_VERKAEUFE_TV9_2025_07.csv,validate,warning,Verarbeitung mit Warnungen,Einige Zeilen wurden übersprungen,39,2025-07-11 04:24:24,51,
363,SONSTIGE_ANGEBOTE_TV8_2025_01.csv,validate,info,Verarbeitung gestartet,,,2025-05-16 02:30:59,,2025-08-03 01:36:20
364,PLAN_UMSATZ_TV6_2025_08.csv,export,info,Verarbeitung gestartet,,2,2024-10-09 16:21:00,,
365,TICKET_VERKAEUFE_TV11_2024_04_v1.csv,validate,info,Verarbeitung gestartet,,,2025-10-21 03:44:17,,2025-01-27 03:25:26
